Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
This study,Freshwater,0.8,,41.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.8,,40.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.8,,42.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.8,,43.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.9,,42,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.9,,48.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1,,41.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1,,40.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.1,,47.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.2,,41.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.2,,43.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.2,,42.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.4,,41,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.4,,43.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.4,,36.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.5,,37.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.6,,41,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.6,,35.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.8,,47.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.8,,49,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.8,,47.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.9,,41.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,1.9,,39.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.9,,44.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,1.9,,46,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2,,39.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.1,,45.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.1,,38.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.1,,40.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.2,,41.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.2,,41.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.2,,46.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.3,,40.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.3,,43,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.3,,43.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.3,,48,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.4,,42.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.4,,47.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.5,,41.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.5,,51.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.6,,48.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.6,,46.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.6,,48.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.6,,40.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.6,,35.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,2.7,,40.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.7,,37.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.8,,43.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,2.9,,41.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3,,44,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3,,43.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3,,42,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3,,48.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.1,,50.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.1,,40.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.1,,52.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.2,,42,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.2,,43.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.2,,44.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.2,,43.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.2,,49.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.2,,47.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.3,,44.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.3,,43.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.3,,49.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.4,,49.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.4,,48.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.4,,52,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.5,,42,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.5,,51.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.5,,46.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.6,,49.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.6,,47.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.6,,41.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.6,,48.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.7,,52.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.7,,49.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.7,,50,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.7,,47,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.8,,41.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.8,,41.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,3.9,,43.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.9,,41.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,3.9,,45.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4,,51.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4,,39.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4,,47.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.1,,40.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.1,,43.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.1,,41.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.1,,37.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.3,,43,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.3,,47.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.4,,46.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.4,,50.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.4,,42.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.4,,43.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.4,,44.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.5,,43.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.5,,53.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.5,,46.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.5,,43.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.6,,46.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.6,,44.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.6,,43.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.6,,47.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.7,,57.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.8,,43.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.8,,44.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.8,,46.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.8,,44.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.8,,48.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.9,,45,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.9,,44.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.9,,45.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.9,,49.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.9,,47.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,4.9,,41.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,4.9,,44.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5,,46.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5,,50.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.1,,50.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.1,,44.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.2,,45.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.2,,44.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.2,,50.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.2,,44.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.3,,43,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.3,,44.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.3,,52.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.3,,66.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.3,,44.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.4,,45.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.4,,46.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.4,,44.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.4,,42.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.5,,45.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.5,,45.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.5,,44.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.5,,69,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.6,,44.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.6,,43.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.6,,47.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.7,,46,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.7,,44.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.7,,54,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,5.7,,65.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.7,,43.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.7,,38.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.8,,45.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,5.8,,45.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
